agency,city,state,ntd_id,organization_type,reporter_type,report_year,uace_code,uza_name,primary_uza_population,agency_voms,modecd,mode_name,typeofservicecd,mode_voms,form_type,guideway,guideway_questionable,stations,stations_questionable,administrative_buildings,administrative_buildings_1,maintenance_buildings,maintenance_buildings_1,passenger_vehicles,passenger_vehicles_1,other_vehicles,other_vehicles_questionable,fare_collection_equipment,fare_collection_equipment_1,communication_information,communication_information_1,other,other_questionable,reduced_reporter,reduced_reporter_questionable,total,total_questionable
Nantucket Regional Transit Authority,Nantucket,MA,10162,Independent Public Agency or Authority of Transit Service,Rural Reporter,2024,,,,17.0,DR,Demand Response,PT,2.0,Reduced Reporting (RR-20) - General Public Transit,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Isle au Haut Boat Services,Stonington,ME,10167,Private-Non-Profit Corporation,Rural Reporter,2024,,,,2.0,FB,Ferryboat,DO,2.0,Reduced Reporting (RR-20) - General Public Transit,0,,0,,0,,0,,0,,0,,0,,0,,0,,11278,,11278,
Waldo Community Action Partners,Belfast,ME,10169,Private-Non-Profit Corporation,Rural Reporter,2024,,,,40.0,MB,Bus,DO,4.0,Reduced Reporting (RR-20) - General Public Transit,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Waldo Community Action Partners,Belfast,ME,10169,Private-Non-Profit Corporation,Rural Reporter,2024,,,,40.0,DR,Demand Response,DO,36.0,Reduced Reporting (RR-20) - General Public Transit,0,,0,,0,,0,,0,,0,,0,,0,,0,,109944,,109944,
"Tri-County CAP, Inc./Carroll County Transit, dba: Tri County Community Action Program, Inc.",Berlin,NH,10170,Private-Non-Profit Corporation,Rural Reporter,2024,,,,2.0,DR,Demand Response,DO,2.0,Reduced Reporting (RR-20) - General Public Transit,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Tri-County CAP, Inc./North Country Transit, dba: Tri County Community Action Program, Inc.",Berlin,NH,10172,Private-Non-Profit Corporation,Rural Reporter,2024,,,,10.0,MB,Bus,DO,2.0,Reduced Reporting (RR-20) - General Public Transit,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Tri-County CAP, Inc./North Country Transit, dba: Tri County Community Action Program, Inc.",Berlin,NH,10172,Private-Non-Profit Corporation,Rural Reporter,2024,,,,10.0,DR,Demand Response,DO,8.0,Reduced Reporting (RR-20) - General Public Transit,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Franklin Regional Transit Authority,Greenfield,MA,10173,Independent Public Agency or Authority of Transit Service,Rural Reporter,2024,,,,41.0,DR,Demand Response,PT,26.0,Reduced Reporting (RR-20) - General Public Transit,0,,0,,0,,0,,0,,0,,0,,0,,0,,136262,,136262,
Franklin Regional Transit Authority,Greenfield,MA,10173,Independent Public Agency or Authority of Transit Service,Rural Reporter,2024,,,,41.0,MB,Bus,PT,11.0,Reduced Reporting (RR-20) - General Public Transit,0,,0,,0,,0,,0,,0,,0,,0,,0,,230278,,230278,
Franklin Regional Transit Authority,Greenfield,MA,10173,Independent Public Agency or Authority of Transit Service,Rural Reporter,2024,,,,41.0,DR,Demand Response,TX,4.0,Reduced Reporting (RR-20) - General Public Transit,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Vermont Association for the Blind and Visually Impaired,South Burlington,VT,10174,Private-Non-Profit Corporation,Reduced Reporter,2024,11755.0,"Burlington, VT",118032.0,7.0,DR,Demand Response,PT,2.0,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Vermont Association for the Blind and Visually Impaired,South Burlington,VT,10174,Private-Non-Profit Corporation,Reduced Reporter,2024,11755.0,"Burlington, VT",118032.0,7.0,DR,Demand Response,DO,5.0,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Downeast Transportation, Inc., dba: Downeast",Trenton,ME,10175,Private-Non-Profit Corporation,Rural Reporter,2024,,,,34.0,CB,Commuter Bus,DO,6.0,Reduced Reporting (RR-20) - General Public Transit,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Downeast Transportation, Inc., dba: Downeast",Trenton,ME,10175,Private-Non-Profit Corporation,Rural Reporter,2024,,,,34.0,MB,Bus,DO,28.0,Reduced Reporting (RR-20) - General Public Transit,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"West's Transportation, Inc., dba: West's Bus Service",Steuben,ME,10177,Private-For-Profit Corporation,Rural Reporter,2024,,,,8.0,MB,Bus,DO,2.0,Reduced Reporting (RR-20) - General Public Transit,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"West's Transportation, Inc., dba: West's Bus Service",Steuben,ME,10177,Private-For-Profit Corporation,Rural Reporter,2024,,,,8.0,DR,Demand Response,DO,6.0,Reduced Reporting (RR-20) - General Public Transit,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Town of Bedford, dba: Bedford Local Transit",Bedford,MA,10178,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,9271.0,"Boston, MA--NH",4382009.0,2.0,MB,Bus,DO,1.0,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Town of Bedford, dba: Bedford Local Transit",Bedford,MA,10178,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,9271.0,"Boston, MA--NH",4382009.0,2.0,DR,Demand Response,DO,1.0,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
City of Beverly,Beverly,MA,10179,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,9271.0,"Boston, MA--NH",4382009.0,1.0,MB,Bus,PT,1.0,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Town of Lexington, dba: Lexpress",Lexington,MA,10181,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,9271.0,"Boston, MA--NH",4382009.0,3.0,MB,Bus,PT,3.0,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mission Hill Link, Inc., dba: Mission Hill Link",Boston,MA,10182,Private-Non-Profit Corporation,Reduced Reporter,2024,9271.0,"Boston, MA--NH",4382009.0,1.0,MB,Bus,PT,1.0,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority, dba: The Steamship Authority",Falmouth,MA,10183,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,5167.0,"Barnstable Town, MA",303269.0,25.0,MB,Bus,DO,16.0,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,91292,,0,,0,,0,,0,,364721,,0,,456013,
"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority, dba: The Steamship Authority",Falmouth,MA,10183,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,5167.0,"Barnstable Town, MA",303269.0,25.0,MB,Bus,DO,16.0,Uses of Capital (F-20) - Expansion of Service,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority, dba: The Steamship Authority",Falmouth,MA,10183,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,5167.0,"Barnstable Town, MA",303269.0,25.0,FB,Ferryboat,DO,9.0,Uses of Capital (F-20) - Expansion of Service,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority, dba: The Steamship Authority",Falmouth,MA,10183,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,5167.0,"Barnstable Town, MA",303269.0,25.0,FB,Ferryboat,DO,9.0,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,9695254,,0,,1656738,,21023777,,123016,,0,,115780,,0,,0,,32614565,
The Mashpee Wampanoag Tribe,Mashpee,MA,10184,Tribe,Reduced Reporter,2024,5167.0,"Barnstable Town, MA",303269.0,4.0,DR,Demand Response,DO,4.0,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Houlton Band of Maliseet Indians,Littleton,ME,11140,Tribe,Reduced Reporter,2024,23.0,Maine Non-UZA,995851.0,11.0,DR,Demand Response,DO,11.0,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Aroostook Band of Micmacs,Presque Isle,ME,11146,Tribe,Reduced Reporter,2024,23.0,Maine Non-UZA,995851.0,2.0,DR,Demand Response,DO,2.0,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Rhode Island Department of Transportation,Providence,RI,11147,State Government Unit or Department of Transportation,Full Reporter,2024,72505.0,"Providence, RI--MA",1285806.0,1.0,FB,Ferryboat,PT,1.0,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Rhode Island Department of Transportation,Providence,RI,11147,State Government Unit or Department of Transportation,Full Reporter,2024,72505.0,"Providence, RI--MA",1285806.0,1.0,FB,Ferryboat,PT,1.0,Uses of Capital (F-20) - Expansion of Service,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Mashantucket Pequot Tribal Nation,Mashantucket,CT,11152,Tribe,Reduced Reporter,2024,9.0,Connecticut Non-UZA,671921.0,1.0,MB,Bus,DO,1.0,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,123227,,123227,
"Southwestern Community Services Transportation, dba: Southwestern Community Services",Keene,NH,11156,Private-Non-Profit Corporation,Rural Reporter,2024,,,,7.0,MB,Bus,DO,5.0,Reduced Reporting (RR-20) - General Public Transit,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
